Period,Australia,Belgium,Brazil,Canada,China,France,Germany,Hong Kong,India,Ireland,Israel,Italy,Japan,"Korea, South",Malaysia,Mexico,Netherlands,Saudi Arabia,Singapore,Switzerland,Taiwan,United Kingdom,Vietnam,All other countries,European Union,SouthCentral America
1999,9519,3871,6433,-29022,-66930,-5887,-26787,1886,-4310,NULL,-1535,-12702,-55706,-6406,-11639,-18736,12925,2250,1143,-2814,-13866,2906,NULL,-40405,-29387,5408
2000,9622,4723,6772,-49075,-81478,-10523,-30330,2506,-5749,NULL,-4140,-14927,-63418,-10620,-13934,-20912,13343,-6539,2720,-2064,-13668,3033,NULL,-85024,-45919,-6210
2001,7198,3757,6044,-49660,-80861,-11377,-32445,3516,-4323,NULL,-3784,-15118,-54624,-11666,-12412,-25526,10579,-5709,6156,-1244,-12770,2929,NULL,-79032,-57719,-7725
2002,9515,3856,544,-45419,-101041,-9572,-41388,2402,-5956,NULL,-3855,-14747,-56736,-11145,-13120,-33527,9688,-7441,4906,-2659,-11987,-2082,NULL,-90901,-75084,-18796
2003,10274,5279,-3180,-49003,-122348,-12158,-44687,4051,-5936,NULL,-5040,-15529,-54521,-11454,-14027,-36933,10132,-12931,4967,-1915,-13231,-3138,NULL,-124916,-87390,-33269
2004,10109,4384,-3682,-63882,-160849,-10118,-50805,4712,-7217,NULL,-4739,-18800,-62086,-18690,-17006,-43238,12687,-14214,6761,-883,-11825,64,NULL,-161521,-95112,-46298
2005,12297,5886,-4827,-73252,-201106,-12484,-54830,5835,-10132,NULL,-6806,-21211,-69230,-13308,-22878,-46528,12654,-19141,7415,-2805,-11586,-744,NULL,-189763,-107433,-56292
2006,14288,6919,-2825,-61279,-233171,-15675,-55304,8581,-12860,-13182,-8613,-22294,-77550,-8771,-24418,-61271,15401,-22298,7843,652,-13763,3909,-7217,-180636,-103349,-49320
2007,17208,10117,4908,-53565,-256577,-15449,-51219,12079,-10781,-14163,-7930,-21760,-72808,-7753,-21177,-72158,18533,-22909,10182,1848,-11523,11717,-8395,-149422,-80010,-23042
2008,19191,11741,9548,-60199,-264173,-13012,-50868,14484,-11310,-11530,-8171,-21176,-62598,-7383,-18071,-61544,25262,-39089,13799,-607,-10306,9542,-9568,-166311,-59200,-18290
2009,19456,7488,14064,-982,-220580,-7299,-33748,17597,-8478,-7502,-10253,-14850,-30483,-4583,-12661,-44324,21956,-7209,9053,1575,-6991,10077,-8710,-77383,-26153,-6146
2010,22928,9297,23672,-2770,-264042,-11284,-39838,21290,-15697,-12845,-10629,-14991,-43002,-2593,-11267,-61207,20119,-15660,16075,3135,-4843,8856,-10629,-107161,-46875,9641
2011,29206,12914,26695,-7775,-282574,-12354,-55120,31174,-21617,-15049,-9941,-18373,-44882,-4341,-10525,-59828,24568,-28752,16822,4218,-9718,13950,-12509,-120711,-60111,11534
2012,34585,12562,29223,-2077,-298580,-10526,-67403,31497,-26024,-9819,-8466,-22102,-58494,-5637,-12322,-57184,24567,-30796,17355,6402,-7849,11150,-14721,-61246,-74838,38276
2013,31605,12713,36013,-282,-298116,-11679,-73569,37836,-28277,-5187,-9081,-23334,-59401,-7199,-13379,-50283,29573,-25463,18143,4048,-5645,6383,-18695,6414,-78201,70161
2014,31311,13452,32419,-8148,-318192,-14770,-80148,36120,-32087,503,-8223,-26591,-55988,-12678,-16689,-53801,29340,-21200,19054,-1456,-6840,8931,-23879,25608,-91692,83053
2015,29809,14759,23512,7116,-336368,-16128,-77679,31531,-30933,-3308,-11415,-29154,-58118,-16275,-20885,-59974,29487,5629,17817,853,-8612,11611,-29916,35865,-98834,82975
2016,28259,15205,19764,10847,-310330,-13067,-66470,28996,-31362,-3956,-9290,-30112,-59342,-14248,-23900,-64160,29485,8627,20119,-4280,-7122,16549,-30920,11250,-81855,65976
2017,29120,15301,28152,7334,-336268,-15216,-66230,34230,-29022,-4403,-10127,-33408,-58830,-6648,-22714,-70631,30373,5104,22735,-4482,-12509,15769,-37197,2628,-89332,81426
2018,30021,15015,29214,6094,-377728,-14175,-66832,32768,-28160,-12518,-9018,-33742,-56077,-4549,-24803,-79090,29718,-3513,21245,1641,-11300,21077,-38114,-5768,-97717,84972
2019,28373,15694,29496,-1123,-302039,-18312,-67188,28399,-29516,-10896,-4748,-36188,-56395,-8238,-26330,-103973,27722,8880,16887,-5896,-18766,18580,-54161,10344,-103749,91484
2020,17915,8076,21437,649,-282341,-14365,-58620,18560,-34181,-5091,-5698,-28229,-50494,-17377,-30689,-110614,27171,11008,13172,-39211,-26942,14871,-67684,-15015,-110295,77138
2021,24055,11488,25462,-36205,-334188,-22448,-71551,27669,-44368,-4956,-8559,-39140,-55483,-23118,-40427,-108792,30395,6427,28150,-20428,-39991,9829,-89476,-72414,-146407,91069
2022,26902,9114,30590,-57565,-366197,-16681,-77144,22127,-45107,-5052,-10620,-43931,-68911,-35710,-34651,-136115,57109,-2981,38741,-4476,-50807,19307,-114568,-78137,-129028,104581
2023,31884,16256,23638,-40627,-252144,-17384,-87000,24852,-45640,-7426,-8622,-47096,-66151,-40779,-25534,-162104,62498,6968,27657,-5173,-47530,14475,-102895,-37013,-125125,82902
