Period,Australia,Belgium,Brazil,Canada,China,France,Germany,Hong Kong,India,Ireland,Israel,Italy,Japan,"Korea, South",Malaysia,Mexico,Netherlands,Saudi Arabia,Singapore,Switzerland,Taiwan,United Kingdom,Vietnam,All other countries,European Union,SouthCentral America
1999,17474,15237,19094,190178,17707,28659,43175,16217,6139,NULL,10228,15176,91511,29565,10223,101643,26513,12175,21745,13505,24507,68706,NULL,197149,241603,93980
2000,18919,16909,22112,204237,21862,30821,45379,18521,6731,NULL,10662,16665,101554,35106,12194,127581,29051,9172,24557,16173,30603,73995,NULL,210158,260504,101050
2001,16427,16173,22109,188243,25025,29942,44309,17689,7230,NULL,10088,14983,89667,28927,10589,118455,26490,8903,23859,16539,24186,71432,NULL,204102,248177,97380
2002,18832,15719,18306,186202,28363,30053,41739,16257,7648,NULL,10152,15218,82986,30072,11539,115452,26201,7336,22252,14608,24123,65644,NULL,197392,239406,89105
2003,19625,17831,16450,197491,34628,28582,45569,17278,9144,NULL,9624,16339,82760,32189,12210,115959,28424,6686,22782,16711,22703,68970,NULL,206231,253951,87815
2004,21291,19712,19414,219500,42236,34234,50743,19771,10963,NULL,12189,17185,89907,34873,12154,129587,32215,7902,25358,20370,27992,78076,NULL,242447,292365,103511
2005,23820,21748,21574,246291,50685,35241,55246,21046,13294,NULL,12718,18556,93383,37867,12063,141856,35252,9235,26657,22922,29104,83456,NULL,279487,318913,117974
2006,27076,24522,27105,270762,64841,37425,62395,23108,16009,24447,13775,19922,96733,44789,13880,156468,40750,10797,30278,28889,30479,96080,1771,301689,360777,143462
2007,30959,29108,34803,294473,76672,43168,74727,26382,23368,29963,16382,23061,99503,48245,13272,159693,45496,14527,33359,35472,32993,111577,2742,360869,426746,176194
2008,35653,33168,45420,310671,86274,47880,83035,28667,27128,33763,18286,24759,104713,49752,14812,176461,55995,17242,35526,43354,32351,114862,3925,425889,471617,216426
2009,33722,25604,39722,251969,86766,44304,69845,27948,25597,33533,12740,20660,89007,43182,12313,150840,46203,16977,30098,37584,26261,99193,4184,364540,404356,185784
2010,37817,29508,53767,307571,113576,45279,75023,33367,29243,33279,15182,22787,104991,56700,16238,187487,48411,16921,39743,43050,36896,104891,4899,415696,427636,229135
2011,46392,35791,65891,344575,130701,47563,77762,43968,32365,37258,18233,25257,112403,63113,16890,224079,58069,19915,43069,49180,37905,115696,5686,491791,475671,273998
2012,51784,35032,69153,359930,141706,49874,77123,45279,33388,37245,18779,24578,119663,64132,15396,243694,57075,25959,44399,54683,37088,117026,6268,518196,474217,297235
2013,47898,37305,71547,369661,158078,51528,75925,52472,34278,39690,18743,25004,113042,65837,15543,255357,59333,27480,42332,55213,38342,110121,6688,541703,475770,310998
2014,49043,40626,71359,379851,166374,51314,78962,52133,36015,48881,20451,25532,114182,67837,15937,270952,61266,27037,42062,52928,40305,120985,7569,551014,507569,317988
2015,48175,40421,58667,341365,163329,50074,81184,48208,38838,52510,19062,24628,106619,66254,15218,267794,57476,28827,43049,55313,39016,126762,9031,498958,509336,283590
2016,45183,38114,52482,327931,169387,51493,82794,46088,41210,58997,19375,25062,107849,65403,14951,261553,56966,26718,45219,57240,38946,125579,12176,470108,516169,256791
2017,47737,35640,63854,348666,187875,53914,88603,52392,47936,64156,18687,27249,114299,73679,16538,275645,60840,25228,50515,61786,37235,131515,10370,500117,545792,281152
2018,48594,37355,65834,368991,180596,58237,93262,50948,55830,63510,20299,32506,122537,80779,16257,299176,67903,22171,57043,64481,41921,145472,12139,536619,589780,295005
2019,48027,40326,66965,362297,167475,60012,96758,45330,58012,73483,22325,33279,124628,80967,16429,289849,72339,23811,54105,63895,42910,147130,13520,542405,623691,295117
2020,38473,33243,49381,309637,166311,42890,87700,36697,43335,78243,15414,25767,102244,69150,14977,236067,65796,21281,53098,59762,39821,120202,12354,438305,415607,240247
2021,42904,37772,61957,367774,192225,46744,97301,44271,58032,90392,18267,28146,111690,85975,17888,308594,77861,21457,67043,73803,47256,129714,12934,530806,476995,304308
2022,52027,41345,75964,436720,197361,68187,113079,39578,73514,101120,20924,36880,119897,96277,21674,363097,106258,22026,80221,94865,55251,159387,13824,649929,599868,365313
2023,58244,44976,69560,440939,195524,68092,118884,41930,74479,101281,21092,39996,120365,91290,23306,367195,116870,24868,79771,77789,52364,165915,12917,664169,639564,344796
