Period,Total,Maintenance and Repair Services n.i.e.,Transport,Travel,Construction,Insurance Services,Financial Services,Charges for the Use of Intellectual Property n.i.e.,"Telecom-munications, Computer, and Information Services",Other Business Services,"Personal, Cultural, and Recreational Services",Government Goods and Services n.i.e.
1999,278001,3656,46302,89146,3974,3052,25998,39913,12320,36415,9007,8218
2000,298023,4423,49462,96872,1993,3631,29192,43476,12250,38217,9351,9156
2001,284035,5191,45965,86408,2608,3424,27500,41005,12862,41250,9631,8191
2002,288059,5368,45954,79625,3128,4415,29903,44815,12487,44625,10089,7653
2003,297740,5073,46701,76983,2377,5974,33499,47308,14099,46171,10522,9033
2004,344536,5181,54419,85648,2253,7314,42767,56943,15009,51609,11409,11985
2005,378487,6652,58377,93423,1489,7566,47405,64466,15568,56846,11114,15582
2006,423086,7106,64026,96148,1856,9445,56522,70999,17242,65990,14532,19222
2007,495664,8899,70837,106918,2774,10867,73980,84498,20339,79366,16265,20921
2008,540791,9362,78237,117030,4072,13491,79897,89672,23892,89975,16080,19084
2009,522461,11573,65806,110757,4260,14594,73844,85730,24925,93508,16926,20538
2010,582041,13111,76357,130315,2951,14854,86512,94968,26556,99595,17612,19210
2011,644665,14739,82930,142197,3187,14673,101077,107053,29376,108423,19538,21470
2012,684823,14944,88238,153921,3234,15978,105419,107869,33522,118451,21098,22148
2013,719413,15720,89999,170979,2213,15653,109794,113824,36325,122166,20888,21852
2014,757051,17978,90687,180265,2070,16624,119933,116380,38629,132240,22551,19693
2015,769397,19847,84434,192602,2759,15763,115688,111151,41427,141421,24220,20087
2016,783431,21587,81779,192868,1690,16663,117249,112981,43122,153089,23626,18777
2017,837474,23239,86342,196469,2053,18976,131733,118147,47657,167270,25664,19924
2018,865549,28036,93107,200724,2842,19118,136273,114819,49245,176540,22715,22131
2019,891177,27671,91058,198982,3161,18579,142546,122533,55742,186178,22192,22535
2020,726296,13288,57471,72479,2370,20023,150838,115936,56071,195133,20710,21976
2021,804948,12569,66798,71746,2957,23011,171530,131079,57984,220451,23906,22916
2022,949065,14416,92405,142909,1948,23987,167445,137833,64717,246416,27711,29279
2023,1026596,15948,97779,189134,1529,24985,175461,134442,70629,253190,30732,32767
