Period,Total,Maintenance and Repair Services n.i.e.,Transport,Travel,Construction,Insurance Services,Financial Services,Charges for the Use of Intellectual Property n.i.e.,"Telecom-munications, Computer, and Information Services",Other Business Services,"Personal, Cultural, and Recreational Services",Government Goods and Services n.i.e.
1999,196742,1193,49892,58864,1524,9389,12489,12845,14664,19999,1670,14212
2000,220927,2316,58526,64174,1447,11284,16445,16139,14128,20306,1645,14516
2001,222039,1821,56571,60525,1870,16706,15982,16207,14012,21204,1820,15322
2002,233480,2016,55398,59017,2616,21927,15214,18981,13214,24027,1719,19353
2003,252340,2043,61084,61244,1974,25233,15766,18653,14928,25748,2049,23619
2004,290609,2181,71954,70332,2303,29089,19043,22818,16382,28026,2183,26296
2005,312225,2730,78796,74112,1295,28710,21971,24127,18404,32076,2550,27454
2006,349329,4091,82348,78375,1650,39382,27005,23076,20850,41378,3822,27353
2007,385464,4590,86097,82606,2570,47166,33768,24615,23660,48455,3678,28260
2008,420650,5128,92837,84317,3526,58444,29519,27764,26138,59675,4421,28880
2009,407538,5257,75784,82512,3667,63965,24900,29421,26038,59517,5016,31460
2010,436456,5857,88394,85166,2578,63452,27215,31116,29421,65903,5393,31960
2011,458188,7168,95027,86623,3025,58277,30312,32911,32832,74082,6636,31293
2012,469610,7078,99323,90340,3340,58747,28736,35061,33285,78678,7160,27861
2013,465736,6674,94434,91119,2583,52909,29284,35295,35868,84024,8205,25341
2014,491086,6732,99810,96248,2314,52915,32770,37562,38461,90716,9323,24236
2015,498305,8084,99557,102664,3012,50300,32686,35178,38815,95119,11358,21531
2016,513088,7595,92391,109155,1768,52790,33142,41974,39720,100505,12544,21503
2017,555070,6796,103109,117931,1950,53267,37952,44405,43091,106991,17530,22047
2018,565395,7354,110441,125717,3077,43797,41336,42736,41701,107435,18825,22975
2019,593313,8716,112813,131990,1361,51219,44360,42273,42768,112496,21316,24000
2020,467111,5084,72954,34399,1008,57743,45696,45025,43612,112652,24384,24553
2021,569829,4868,106797,58998,2326,59760,50947,50530,51853,129977,28412,25360
2022,713886,5453,157711,118623,2146,62305,57479,60988,55107,138765,29761,25547
2023,748198,6470,142874,158678,1594,64607,62691,47537,60142,145074,33013,25517
